name,title,url_link
이슈피드,왜 하필 저런 옷을?!ㄷㄷ 뉴진스 최근 무대 의상 때문에 팬들 충격받은 이유 (+의상 논란 총정리),https://www.youtube.com//watch?v=DnlKlwJcQmg
KBS Kpop,[K-Choreo 8K HDR] 뉴진스 직캠 'Attention' (NewJeans Choreography) l @MusicBank 220805,https://www.youtube.com//watch?v=nI6Zp5P13Ow
M2,[MPD직캠] 뉴진스 직캠 8K 'Attention' (NewJeans FanCam) | @MCOUNTDOWN_2022.8.11,https://www.youtube.com//watch?v=bQ9tQtG0pmw
KBS Kpop,Hurt - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 220826 방송,https://www.youtube.com//watch?v=DGBpiPSUNMY
KBS Kpop,[얼빡직캠 4K] 뉴진스 민지 'Hype Boy' (NewJeans MINJI Facecam) @뮤직뱅크(Music Bank) 220812,https://www.youtube.com//watch?v=p1cE9T0CFCQ
스브스케이팝 X INKIGAYO,[안방1열 풀캠4K] 뉴진스 'Attention' (NewJeans FullCam)│@SBS Inkigayo 220807,https://www.youtube.com//watch?v=X5SeR_DVaiw
DANPIA,NewJeans 뉴진스 'Bad Cookie',https://www.youtube.com//watch?v=tcTK4VusNJs
Jaeguchi,NewJeans Hurt Lyrics (뉴진스 Hurt 가사) (Color Coded Lyrics),https://www.youtube.com//watch?v=wY7bGCj4fQk
스브스케이팝 X INKIGAYO,[단독샷캠4K] 뉴진스 'Cookie' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 220807,https://www.youtube.com//watch?v=2AgpBwagplU
NewJeans,NewJeans(뉴진스) Dance Tips💡,https://www.youtube.com//watch?v=zNLRL1GYTDE
KCON official,NewJeans (뉴진스) - Cookie | KCON 2022 SAUDI ARABIA,https://www.youtube.com//watch?v=09Tz_56eMXw
연세우유,NEWJEANS 뉴진스 HYPE BOY | 2022 연세대 아카라카 YONSEI AKARAKA FESTIVAL,https://www.youtube.com//watch?v=LU9MSzhwkaQ
NewJeans,NewJeans (뉴진스) 'Cookie' Dance Practice,https://www.youtube.com//watch?v=9yXe2HXcqcQ
유어리아 your ria,민지가 이쁘다구 해줬ㄷr...😻 뉴진스 대면팬싸 브이로그 • 내 질문이 2번 뽑힌 건에 대하여🥰 Newjeans fansign event 220816,https://www.youtube.com//watch?v=PV6szCH7Kzs
패션선도부,뉴진스 다니엘 공항패션 가격은?,https://www.youtube.com//shorts/X9QKR66EUYE
KBS 한국방송,[OH뭐지🎧] 청량함에 Attention 할 수밖에 없는 다섯소녀🐰 뉴진스(NewJeans) 노래모음🍭ㅣKBS 방송,https://www.youtube.com//watch?v=tLC7zwC_Ls4
SK telecom,[SK텔레콤] Attention! New0을 위한 iPhone 14 Pro,https://www.youtube.com//watch?v=d3Z-LrKMmwo
KCON official,[Full Shot🎥] NewJeans (뉴진스) - Cookie | MULTI CAM | KCON 2022 SAUDI ARABIA,https://www.youtube.com//watch?v=cz7YeX582O0
명식이,NewJeans(뉴진스) - Cookie & Hurt & Attention & Hype Boy (1 Hour Loop) | 1시간,https://www.youtube.com//watch?v=DpB_VfewOVs
Chaecado ,뉴진스 하입보이 가사 New Jeans Hype Boy Lyrics | Color Coded | New Jeans Hybe Boy Lyrics,https://www.youtube.com//watch?v=6qXHp288Vmk
빵사,[뉴진스] 갑자기 강아지 등장,https://www.youtube.com//shorts/e3IN_tJrxro
빵사,[뉴진스] 민지의 최애 직캠을 골라보세요,https://www.youtube.com//shorts/tYrphcnXBmU
Mnet K-POP,[NewJeans - Cookie] Hot Debut Stage | #엠카운트다운 EP.764 | Mnet 220804 방송,https://www.youtube.com//watch?v=v3VoTXZXYjI
KBS Kpop,[4K] 뉴진스 'Attention' 뮤직뱅크 1위 앵콜 직캠 (NewJeans Encore Fancam) @MusicBank 220819,https://www.youtube.com//watch?v=DqU7QGO2hI4
샤워니,221008 더팩트 뉴진스 hype boy+attention Newjeans thefactmusicawards,https://www.youtube.com//watch?v=Zy6DmpHvdzU
헤이데이 Heyday,"전문 댄서들이 말하는 뉴진스의 안무가 ""보기 좋은"" 이유! (HYPE BOY, ATTENTION, COOKIE)",https://www.youtube.com//watch?v=u7Mol8c25tI
뇨뇨,뉴진스 해린 닮은꼴,https://www.youtube.com//shorts/jb9OaHRDIX4
KBS Kpop,[얼빡직캠 4K] 뉴진스 민지 'Hype Boy' (NewJeans MINJI Facecam) @뮤직뱅크(Music Bank) 220819,https://www.youtube.com//watch?v=eQ4OOr8KOFE
STUDIO CHOOM [스튜디오 춤],[BE ORIGINAL] NewJeans(뉴진스) 'Attention' (Behind) (ENG/JPN),https://www.youtube.com//watch?v=BwvTlYb5jtc
Soul,뉴진스 (NewJeans) - 쿠키 (Cookie) (1시간) / 가사,https://www.youtube.com//watch?v=LnQw62a0Jy0
Jaeguchi,NewJeans (뉴진스) 'Cookie' Lyrics (Color Coded Lyrics),https://www.youtube.com//watch?v=uEnIsBKkbh4
스브스케이팝 X INKIGAYO,[앵콜캠4K] 뉴진스 'Attention' 인기가요 1위 앵콜 직캠 (NewJeans Encore Fancam) | @SBS Inkigayo_2022.08.21.,https://www.youtube.com//watch?v=XPxdU5NOIW4
영크릿l Young Cret,"뉴진스 호주영어 VS 소녀시대 정통 미국영어, MZ세대 영어실력 극과 극 차이 ㄷㄷ[ENGSUB |NewJeans| 영어공부]",https://www.youtube.com//watch?v=XrSSranf9ZA
패션선도부,뉴진스 민지 연세대 축제 패션 알아보기!,https://www.youtube.com//shorts/wK1RUFp82yg
NewJeans,NewJeans (뉴진스) 'Hype Boy' Dance Practice (ver.3),https://www.youtube.com//watch?v=DAjNQv5TXfU
그렉형 Greg,[그렉] 뉴진스(NewJeans) -  Hype Boy,https://www.youtube.com//watch?v=8SwZBs9EWVI
빵사,[뉴진스] 광고에 최적화된 민지 목소리,https://www.youtube.com//shorts/srMPcDaLQaI
Sad,NewJeans (뉴진스) - Hype Boy (1 Hour Loop) / 1시간,https://www.youtube.com//watch?v=dUKNHDACvS8
명식이,NewJeans(뉴진스) - Hurt & Attention & Hype Boy (1 Hour Loop) | 1시간,https://www.youtube.com//watch?v=r_1MR74X-5A
1 Høur,NewJeans (뉴진스) - Hurt (1 HOUR LOOP) Lyrics | 1시간 가사,https://www.youtube.com//watch?v=T_eCSgXOl88
짐니로그 JIMNYLOG,2022 연세대학교 아카라카 뉴진스 하입보이 NEW JEANS - hype boy 💙 갓기들의 대학축제,https://www.youtube.com//watch?v=Qu1_QwHswhc
예쁜게다니엘,라이브에서 너무 예쁘게 웃는 #뉴진스 민지,https://www.youtube.com//shorts/WfJSvPMBz8I
M2,[입덕직캠] 뉴진스 하니 직캠 4K 'Hype Boy' (NewJeans HANNI FanCam) | @MCOUNTDOWN_2022.8.4,https://www.youtube.com//watch?v=lmJPeFW75qQ
허윤하 Heo Yoonha,뉴진스 ( Newjeans ) - Hype boy. cover #한림예고,https://www.youtube.com//shorts/Lbirl9EgkDI
스브스케이팝 ZOOM,[페이스캠4K] 뉴진스 민지 'Attention' (NewJeans MINJI FaceCam) @SBS Inkigayo 220807,https://www.youtube.com//watch?v=LcS-451yDxI
KBS Kpop,Hurt - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 220819 방송,https://www.youtube.com//watch?v=iW7B08-TlJ0
"neomu lonely, neomu happy",NewJeans (뉴진스) 'Attention' Official MV  Reaction Mashup,https://www.youtube.com//watch?v=jt8IBxLjxVE
MORE THAN YOUTH,NewJeans 뉴진스 - 'Attention' | 커버댄스 DANCE COVER | 안무 연습영상 거울모드 PRACTICE MIRROR MODE,https://www.youtube.com//watch?v=KGgo5XAYrNE
Coffee4U,"220921 NewJeans (뉴진스) ""Attention"" 직캠(Fancam) [4K 60p] @단국대학교 축제",https://www.youtube.com//watch?v=lrMNaD8GTMY
Mnet K-POP,[NewJeans - Attention] Hot Debut Stage | #엠카운트다운 EP.764 | Mnet 220804 방송,https://www.youtube.com//watch?v=J0bFfJSlU_0
Doyouram - Everyday K-Culture,"뉴진스[NewJeans], 당신이 궁금해할 새로운 하이브 걸그룹 멤버들의 정체(ENG, INDO, TH)",https://www.youtube.com//watch?v=EonNDDAjkB4
985 CREW,"[K-POP IN PUBLIC] NewJeans（뉴진스） - "" Hype Boy "" Dance Cover By 985 From HangZhou",https://www.youtube.com//watch?v=ecbEi5FucSE
피식대학Psick Univ,[한글자막] pH-1에게 에스파vs뉴진스를 묻다,https://www.youtube.com//watch?v=Cc-5gpp998E
